id,brand,name,image_url,link_url,ingredients,created_at,updated_at
11,1st choice,Sterilized (Dry),https://catfooddb.com//img/products/1st choice\/Sterilized_(Dry)_dry.png,"","Chicken Meal, Chicken, Sweet Potatoes, Rice Protein, Lentils, Tapioca, Pea Fiber, Natural Flavor, Flaxseed, Salt, Chicken Fat (preserved With Mixed Tocopherols And Citric Acid), Potassium Chloride, Minerals (ferrous Sulfate, Zinc Oxide, Manganous Oxide, Zinc Proteinate, Manganese Proteinate, Sodium Selenite, Copper Proteinate, Calcium Iodate), Vitamins (alpha-tocopherol Acetate (a Source Of Vitamin E), Nicotinic Acid, D-calcium Pantothenate, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Thiamine Mononitrate, Biotin, Riboflavin, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid), Choline Chloride, Dried Kelp, Sodium Bisulfate, Dl-methionine, Taurine, L-lysine, Sunflower Oil Extract, Ascorbic Acid (vitamin C), Yucca Schidigera Extract, Rosemary Extract, L-carnitine, Suncured Alfalfa, Dried Pineapple, Ginger, Spearmint, Parsley, Green Tea Extract.",2024-05-01 18:54:37.975531,
12,1st choice,Weight Control (Dry),https://catfooddb.com//img/products/1st choice\/Weight_Control_(Dry)_dry.png,"","Chicken, Chicken Meal, Rice, Pea Protein, Brown Rice, Pearled Barley, Oat Groats, Beet Pulp, Pea Fiber, Natural Flavor, Chicken Fat Naturally Preserved With Mixed Tocopherols, Dried Tomato Pomace, Whole Flaxseed, Lecithin, Potassium Chloride, Choline Chloride, Salt, Calcium Carbonate, Calcium Propionate (as A Preservative), Sodium Bisulfate, Taurine, Dl-methionine, L-lysine, Yeast Extract, Ferrous Sulfate, Ascorbic Acid (vitamin C), Chicory Extract, Zinc Oxide, Sodium Selenite, Alpha-tocopherol Acetate (a Source Of Vitamin E), Glucosamine Sulfate, Nicotinic Acid, Yucca Schidigera Extract, Chondroitin Sulfate, L-cystine, Calcium Iodate, Manganous Oxide, L-carnitine, D-calcium Pantothenate, Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Zinc Proteinate, Vitamin B12 Supplement, Cobalt Carbonate, Folic Acid, Manganese Proteinate, Copper Proteinate.",2024-05-01 18:54:38.360646,
13,1st choice,Finicky (Dry),https://catfooddb.com//img/products/1st choice\/Finicky_(Dry)_dry.png,"","Chicken, Chicken Meal, Rice, Chicken Fat Naturally Preserved With Mixed Tocopherols, Pea Protein, Brown Rice, Herring Meal, Dried Egg Product, Beet Pulp, Pearled Barley, Oat Groats, Natural Flavor, Pea Fiber, Whole Flaxseed, Dried Tomato Pomace, Salmon Oil, Potassium Chloride, Lecithin, Choline Chloride, Salt, Calcium Propionate (as A Preservative), Sodium Bisulfate, Calcium Carbonate, Taurine, Dl-methionine, L-lysine, Yeast Extract, Ferrous Sulfate, Ascorbic Acid (vitamin C), Chicory Extract, Zinc Oxide, Sodium Selenite, Alpha-tocopherol Acetate (a Source Of Vitamin E), Nicotinic Acid, Yucca Schidigera Extract, Calcium Iodate, Manganous Oxide, D-calcium Pantothenate, Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Zinc Proteinate, Vitamin B12 Supplement, Cobalt Carbonate, Folic Acid, Manganese Proteinate, Copper Proteinate.",2024-05-01 18:54:38.643898,
14,1st choice,Dental Health (Dry),https://catfooddb.com//img/products/1st choice\/Dental_Health_(Dry)_dry.png,"","Fresh Chicken, Chicken Meal, Brown Rice, Barley, Pea Starch, Menhaden Fish Meal, Chicken Fat Preserved With Mixed Tocopherols, Potato Protein, Suncured Alfalfa Meal, Dried Citrus Pulp, Pea Fiber, Flaxseed, Natural Flavor, Salmon Oil, Lecithin, Sodium Bisulfate, Sodium Hexametaphosphate, Dl-methionine, Choline Chloride, Taurine, Yeast Extract, Potassium Chloride, Salt, Ascorbic Acid (vitamin C), Chicory Extract (a Source Of Inulin), Ferrous Sulfate, L-lysine, Alpha-tocopherol Acetate (a Source Of Vitamin E), Zinc Oxide, Yucca Schidigera Extract, Niacin, Dried Whey, L-carnitine, Manganous Oxide, D-calcium Pantothenate, Zinc Proteinate, Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Manganese Proteinate, Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Dried Ginger, Dried Pineapple, Sodium Selenite, Copper Proteinate, Vitamin B12 Supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:38.887571,
15,1st choice,Indoor Vitality (Dry),https://catfooddb.com//img/products/1st choice\/Indoor_Vitality_(Dry)_dry.png,"","Chicken, Chicken Meal, Rice, Pea Protein, Chicken Fat Naturally Preserved With Mixed Tocopherols, Beet Pulp, Brown Rice, Pearled Barley, Oat Groats, Dried Egg Product, Natural Flavor, Whole Flaxseed, Salmon Oil, Dried Tomato Pomace, Pea Fiber, Potassium Chloride, Lecithin, Calcium Carbonate, Choline Chloride, Salt, Calcium Propionate (as A Preservative), Sodium Bisulfate, Taurine, Dl-methionine, L-lysine, Yeast Extract (a Source Of Mannan-oligosaccharides), Ferrous Sulfate, Ascorbic Acid (vitamin C), Chicory Extract (a Source Of Inulin), Zinc Oxide, Sodium Selenite, Alpha-tocopherol Acetate (a Source Of Vitamin E), Nicotinic Acid, Yucca Schidigera Extract, Calcium Iodate, Manganous Oxide, L-carnitine, D-calcium Pantothenate, Thiaminemononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Zinc Proteinate, Vitamin B12 Supplement, Cobalt Carbonate, Folic Acid, Manganese Proteinate, Copper Proteinate.",2024-05-01 18:54:39.062058,
16,1st choice,Healthy Start (Dry),https://catfooddb.com//img/products/1st choice\/Healthy_Start_(Dry)_dry.png,"","Chicken, Chicken Meal, Rice, Chicken Fat Naturally Preserved With Mixed Tocopherols, Pea Protein, Dried Egg Product, Fish Meal, Brown Rice, Pearled Barley, Oat Groats, Natural Flavor, Beet Pulp, Pea Fiber, Whole Flaxseed, Salmon Oil (a Source Of Dha), Dried Tomato Pomace, Potassium Chloride, Lecithin, Choline Chloride, Salt, Calcium Propionate (as A Preservative), Calcium Carbonate, Yeast Extract (a Source Of Mannan-oligosaccharides), Taurine, Sodium Bisulfate, Dl-methionine, Chicory Extract (a Source Of Inulin), Ferrous Sulfate, Ascorbic Acid (vitamin C), L-lysine, Zinc Oxide, Sodium Selenite, Alpha-tocopherol Acetate (a Source Of Vitamin E), Nicotinic Acid, Yucca Schidigera Extract, Calcium Iodate, Manganous Oxide, D-calcium Pantothenate, Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Zinc Proteinate, Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Manganese Proteinate, Vitamin B12 Supplement, Cobalt Carbonate, Folic Acid, Copper Proteinate.",2024-05-01 18:54:39.412952,
910,feline natural,Beef,https://catfooddb.com//img/products/feline natural\/Beef_wet.png,https://www.chewy.com/feline-natural-beef-feast-grain-free/dp/183880,"Beef, Water Sufficient for Processing, Beef Tripe, Beef Heart, Beef Kidney, Beef Liver, Beef Spleen, Beef Blood, New Zealand Green Mussel, Fish Oil, Flaxseed Flakes, Sunflower Oil, Dipotassium Phosphate, Dried Kelp, Salt, Taurine, Vitamin E Supplement, Magnesium Oxide, Zinc Proteinate, Copper Proteinate, Manganese Proteinate, Thiamine Mononitrate, Folic Acid, Vitamin D3 Supplement",2024-05-01 18:59:36.659211,
17,1st choice,Mature - less active (Dry),https://catfooddb.com//img/products/1st choice\/Mature_-_less_active_(Dry)_dry.png,"","Chicken, Chicken Meal (a Natural Source Of Glucosamine And Chondroitin), Rice, Brown Rice, Pearled Barley, Pea Protein, Chicken Fat Naturally Preserved With Mixed Tocopherols, Dried Egg Product, Oat Groats, Natural Flavor, Beet Pulp, Whole Flaxseed, Pea Fiber, Dried Tomato Pomace, Salmon Oil, Potassium Chloride, Lecithin, Calcium Carbonate, Choline Chloride, Salt, Calcium Propionate (as A Preservative), Sodium Bisulfate, Yeast Extract, Taurine, Chicory Extract, Dl-methionine, L-lysine, Ferrous Sulfate, Collagen Peptide, Ascorbic Acid (vitamin C), Zinc Oxide, Sodium Selenite, Alpha-tocopherol Acetate (a Source Of Vitamin E), Glucosamine Sulfate, Nicotinic Acid, Chondroitin Sulfate, Yucca Schidigera Extract, L-cystine, Calcium Iodate, Manganous Oxide, L-carnitine, D-calcium Pantothenate, Thiaminemononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Zinc Proteinate, Vitamin B12 Supplement, Cobalt Carbonate, Folic Acid, Manganese Proteinate, Copper Proteinate.",2024-05-01 18:54:39.638558,
18,1st choice,Healthy Skin & Coat (Dry),https://catfooddb.com//img/products/1st choice\/Healthy_Skin___Coat_(Dry)_dry.png,"","Salmon, Menhaden Meal, Rice, Pea Protein, Chicken Fat Naturally Preserved With Mixed Tocopherols, Dried Egg Product, Beet Pulp, Pea Fiber, Natural Flavor, Brown Rice, Pearled Barley, Oat Groats, Whole Flaxseed, Salmon Oil, Dried Tomato Pomace, Potassium Chloride, Lecithin, Calcium Carbonate, Choline Chloride, Salt, Calcium Propionate (as A Preservative), Sodium Bisulfate, Taurine, Dl-methionine, L-lysine, Yeast Extract, Ferrous Sulfate, Ascorbic Acid (vitamin C), Chicory Extract, Zinc Oxide, Sodium Selenite, Alpha-tocopherol Acetate (a Source Of Vitamin E), Nicotinic Acid, Yucca Schidigera Extract, L-cystine, Calcium Iodate, Manganous Oxide, L-carnitine, D-calcium Pantothenate, Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Zinc Proteinate, Vitamin B12 Supplement, Cobalt Carbonate, Folic Acid, Manganese Proteinate, Copper Proteinate.",2024-05-01 18:54:39.827243,
19,1st choice,Hypoallergenic (Dry),https://catfooddb.com//img/products/1st choice\/Hypoallergenic_(Dry)_dry.png,"","Sweet Potatoes, Duck, Rice Protein, Pea Protein, Vegetable Oil, Beet Pulp, Natural Flavor, Calcium Carbonate, Lecithin, Pea Fiber, Monocalcium Phosphate, Whole Flaxseed, Salmon Oil, Dehydrated Alfalfa, Potassium Chloride, Choline Chloride, Monosodium Phosphate, Salt, Calcium Propionate (as A Preservative), Sodium Bisulfate, Taurine, Dl-methionine, Yeast Extract (a Source Of Mannan-oligosaccharides), L-lysine, Ferrous Sulfate, Ascorbic Acid (vitamin C), Chicory Extract (a Source Of Inulin), L-cystine, Zinc Oxide, Sodium Selenite, Alpha-tocopherol Acetate (a Source Of Vitamin E), Glucosamine Sulfate, Nicotinic Acid, Yucca Schidigera Extract, Chondroitin Sulfate, Calcium Iodate, Manganous Oxide, L-carnitine, D-calcium Pantothenate, Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Dried Spearmint, Dried Parsley, Green Tea Extract, Dried Ginger, Zinc Proteinate, Vitamin B12 Supplement, Cobalt Carbonate, Folic Acid, Manganese Proteinate, Copper Proteinate",2024-05-01 18:54:40.06021,
20,9lives,Tender Morsels With Real Beef In Sauce,https://catfooddb.com//img/products/9lives\/Tender_Morsels_With_Real_Beef_In_Sauce_wet.png,"","Water Sufficient For Processing, Meat By-products, Beef, Chicken, Soy Protein Concentrate, Wheat Flour, Modified Food Starch, Natural Flavor, Steamed Bone Meal, Caramel Color, Salt, Sodium Tripolyphosphate, Potassium Chloride, Choline Chloride, Titanium Dioxide (color), Iron Oxide (color), Vitamins (vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Vitamin A Supplement, D-calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Taurine, Minerals (ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite).",2024-05-01 18:54:40.458904,
21,9lives,Hearty Cuts With Real Turkey In Gravy,https://catfooddb.com//img/products/9lives\/Hearty_Cuts_With_Real_Turkey_In_Gravy_wet.png,https://www.chewy.com/9-lives-hearty-cuts-real-turkey-in/dp/127816,"Water Sufficient For Processing, Meat By-products, Turkey, Chicken, Soy Protein Concentrate, Modified Food Starch, Wheat Flour, Fish, Soy Flour, Natural Flavor, Salt, Sodium Tripolyphosphate, Titanium Dioxide (color), Potassium Chloride, Choline Chloride, Iron Oxide (color), Vitamins (vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Vitamin A Supplement, D-calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Taurine, Caramel Color, Minerals (ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite).",2024-05-01 18:54:40.676751,
22,9lives,"Hearty Cuts With Real Turkey, Chicken & Cheese In Gravy","https://catfooddb.com//img/products/9lives\/Hearty_Cuts_With_Real_Turkey,_Chicken___Cheese_In_Gravy_wet.png",https://www.chewy.com//9-lives-hearty-cuts-real-turkey/dp/127827,"Water Sufficient For Processing, Meat By-products, Turkey, Chicken, Soy Protein Concentrate, Wheat Flour, Ocean Whitefish, Modified Food Starch, Dried Cheese Powder, Soy Flour, Natural Flavor, Salt, Titanium Dioxide (color), Sodium Tripolyphosphate, Potassium Chloride, Choline Chloride, Iron Oxide (color), Taurine, Vitamins (vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Vitamin A Supplement, D-calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Steamed Bone Meal, Caramel Color, Minerals (ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Potassium Sorbate (a Preservative), Glycerol Monostearate, Beta-carotene (color), Canthaxanthin (color)",2024-05-01 18:54:40.879119,
23,9lives,Protein Plus,https://catfooddb.com//img/products/9lives\/Protein_Plus_dry.png,https://www.chewy.com/9-lives-protein-plus-chicken-tuna/dp/176580,"Whole Ground Corn, Chicken By-product Meal, Soybean Meal, Corn Gluten Meal, Animal Fat (preserved With Mixed Tocopherols), Whole Wheat, Animal Digest, Tuna Meal, Phosphoric Acid, Salt, Caramel Color, Calcium Carbonate, Choline Chloride, Vitamins (vitamin E Supplement, Niacin, Vitamin A Supplement, Thiamine Mononitrate, Riboflavin Supplement, D-calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Menadione Sodium Bisulfite Complex (source Of Vitamin K Activity), Vitamin D3 Supplement, Folic Acid, Biotin), Titanium Dioxide (color), Yellow 5, Taurine, Minerals (ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Red 40, Bha (used As Preservative), Rosemary Extract.",2024-05-01 18:54:41.115758,
911,feline natural,Chicken,https://catfooddb.com//img/products/feline natural\/Chicken_wet.png,https://www.chewy.com/feline-natural-chicken-feast-grain/dp/183884,"Chicken, Water Sufficient for Processing, Chicken Liver, New Zealand Green Mussel, Fish Oil, Flaxseed Flakes, Dried Kelp, Salt, Taurine, Choline Chloride, Vitamin E Supplement, Magnesium Oxide, Zinc Proteinate, Copper Proteinate, Manganese Proteinate, Thiamine Mononitrate, Folic Acid, Vitamin D3 Supplement",2024-05-01 18:59:36.850596,
24,9lives,Daily Essentials,https://catfooddb.com//img/products/9lives\/Daily_Essentials_dry.png,https://www.chewy.com//9-lives-daily-essentials-chicken-beef/dp/127421,"Whole Ground Corn, Chicken By-product Meal, Soybean Meal, Corn Gluten Meal, Beef Fat (preserved With Mixed Tocopherols), Whole Wheat, Meat & Bone Meal, Animal Digest, Salmon Meal, Phosphoric Acid, Salt, Titanium Dioxide (color), Choline Chloride, Vitamins (vitamin E Supplement, Niacin, Vitamin A Supplement, Thiamine Mononitrate, Riboflavin Supplement, D-calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Menadione Sodium Bisulfite Complex (source Of Vitamin K Activity), Vitamin D3 Supplement, Folic Acid, Biotin), Minerals (ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Red 40, Taurine, Yellow 5, Yellow 6, Lactic Acid, Bha (used As A Preservative), Blue 1, Blue 2, Rosemary Extract",2024-05-01 18:54:41.705738,
25,9lives,Gentlecare Chicken & Turkey Flavors,https://catfooddb.com//img/products/9lives\/Gentlecare_Chicken___Turkey_Flavors_dry.png,"","Whole Ground Corn, Chicken By-product Meal, Soybean Meal, Animal Fat (preserved With Mixed Tocopherols), Corn Gluten Meal, Brewers Rice, Animal Digest, Turkey By-product Meal, Soybean Hulls, Calcium Carbonate, Phosphoric Acid, Salt, Choline Chloride, Vitamins (vitamin E Supplement, Niacin, Vitamin A Supplement, Thiamine Mononitrate, Riboflavin Supplement, D-calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Menadione Sodium Bisulfite Complex (source Of Vitamin K Activity), Vitamin D3 Supplement, Folic Acid, Biotin), Taurine, Minerals (ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Lactic Acid, Vha (used As Preservative), Dl-methionine, Rosemary Extract",2024-05-01 18:54:42.229319,
